Index,TauxCompression
256,0.669276
257,0.673190
258,0.675147
259,0.698630
260,0.655577
261,0.659491
262,0.641879
263,0.624266
264,0.653620
265,0.686888
266,0.647750
267,0.659491
268,0.606654
269,0.655577
270,0.649706
271,0.688845
272,0.639922
273,0.647750
274,0.661448
275,0.665362
276,0.632094
277,0.634051
278,0.606654
279,0.641879
280,0.630137
281,0.636008
282,0.651663
283,0.649706
284,0.645793
285,0.622309
286,0.649706
287,0.602740
288,0.647750
289,0.610568
290,0.590998
291,0.628180
292,0.634051
293,0.639922
294,0.616438
295,0.602740
296,0.600783
297,0.596869
298,0.614481
299,0.600783
300,0.614481
301,0.618395
302,0.628180
303,0.589041
304,0.592955
305,0.575342
306,0.577299
307,0.594912
308,0.608611
309,0.579256
310,0.604697
311,0.622309
312,0.579256
313,0.587084
314,0.592955
315,0.596869
316,0.590998
317,0.590998
318,0.596869
319,0.610568
320,0.547945
321,0.616438
322,0.571429
323,0.565558
324,0.551859
325,0.579256
326,0.545988
327,0.602740
328,0.563601
329,0.553816
330,0.598826
331,0.545988
332,0.565558
333,0.551859
334,0.569472
335,0.569472
336,0.561644
337,0.557730
338,0.573386
339,0.561644
340,0.583170
341,0.530333
342,0.567515
343,0.598826
344,0.528376
345,0.524462
346,0.540117
347,0.571429
348,0.559687
349,0.538160
350,0.530333
351,0.520548
352,0.522505
353,0.502935
354,0.536204
355,0.497065
356,0.534247
357,0.516634
358,0.524462
359,0.542074
360,0.514677
361,0.542074
362,0.532290
363,0.542074
364,0.483366
365,0.549902
366,0.540117
367,0.502935
368,0.520548
369,0.516634
370,0.532290
371,0.504892
372,0.514677
373,0.506849
374,0.520548
375,0.504892
376,0.520548
377,0.540117
378,0.454012
379,0.544031
380,0.520548
381,0.524462
382,0.448141
383,0.469667
384,0.497065
385,0.506849
386,0.500978
387,0.497065
388,0.465753
389,0.475538
390,0.491194
391,0.514677
392,0.502935
393,0.514677
394,0.524462
395,0.502935
396,0.514677
397,0.467710
398,0.471624
399,0.455969
400,0.493151
401,0.499022
402,0.455969
403,0.469667
404,0.436399
405,0.450098
406,0.424658
407,0.444227
408,0.444227
409,0.495108
410,0.416830
411,0.463796
412,0.430528
413,0.454012
414,0.452055
415,0.442270
416,0.499022
417,0.463796
418,0.465753
419,0.440313
420,0.442270
421,0.434442
422,0.428571
423,0.467710
424,0.450098
425,0.483366
426,0.430528
427,0.416830
428,0.473581
429,0.457926
430,0.432485
431,0.422701
432,0.420744
433,0.399217
434,0.432485
435,0.454012
436,0.465753
437,0.401174
438,0.416830
439,0.420744
440,0.430528
441,0.414873
442,0.442270
443,0.393346
444,0.416830
445,0.434442
446,0.401174
447,0.407045
448,0.424658
449,0.418787
450,0.424658
451,0.407045
452,0.422701
453,0.383562
454,0.436399
455,0.414873
456,0.414873
457,0.367906
458,0.416830
459,0.397260
460,0.403131
461,0.436399
462,0.395303
463,0.401174
464,0.418787
465,0.352250
466,0.377691
467,0.397260
468,0.369863
469,0.416830
470,0.418787
471,0.393346
472,0.328767
473,0.373777
474,0.360078
475,0.383562
476,0.387476
477,0.371820
478,0.377691
479,0.383562
480,0.367906
481,0.381605
482,0.328767
483,0.403131
484,0.346380
485,0.326810
486,0.377691
487,0.377691
488,0.379648
489,0.360078
490,0.362035
491,0.365949
492,0.338552
493,0.346380
494,0.385519
495,0.299413
496,0.342466
497,0.385519
498,0.330724
499,0.369863
500,0.338552
501,0.346380
502,0.363992
503,0.307241
504,0.332681
505,0.340509
506,0.342466
507,0.362035
508,0.365949
509,0.336595
510,0.340509
511,0.362035
512,0.654936
513,0.658847
514,0.670577
515,0.668622
516,0.674487
517,0.658847
518,0.665689
519,0.673509
520,0.661779
521,0.652004
522,0.671554
523,0.645161
524,0.664712
525,0.670577
526,0.671554
527,0.662757
528,0.647116
529,0.634409
530,0.656891
531,0.649071
532,0.656891
533,0.642229
534,0.650049
535,0.650049
536,0.664712
537,0.643206
538,0.631476
539,0.643206
540,0.644184
541,0.639296
542,0.656891
543,0.647116
544,0.656891
545,0.630499
546,0.627566
547,0.637341
548,0.644184
549,0.625611
550,0.640274
551,0.637341
552,0.634409
553,0.652981
554,0.647116
555,0.636364
556,0.630499
557,0.648094
558,0.640274
559,0.638319
560,0.631476
561,0.643206
562,0.643206
563,0.633431
564,0.631476
565,0.648094
566,0.633431
567,0.644184
568,0.623656
569,0.653959
570,0.627566
571,0.621701
572,0.622678
573,0.627566
574,0.625611
575,0.613881
576,0.626588
577,0.617791
578,0.619746
579,0.632454
580,0.638319
581,0.630499
582,0.623656
583,0.611926
584,0.605083
585,0.630499
586,0.589443
587,0.624633
588,0.596285
589,0.622678
590,0.598240
591,0.642229
592,0.622678
593,0.607038
594,0.603128
595,0.623656
596,0.613881
597,0.622678
598,0.616813
599,0.603128
600,0.606061
601,0.625611
602,0.625611
603,0.590420
604,0.601173
605,0.610948
606,0.606061
607,0.612903
608,0.608016
609,0.571848
610,0.602151
611,0.600196
612,0.595308
613,0.584555
614,0.619746
615,0.610948
616,0.642229
617,0.606061
618,0.605083
619,0.604106
620,0.582600
621,0.599218
622,0.575758
623,0.590420
624,0.593353
625,0.600196
626,0.582600
627,0.568915
628,0.585533
629,0.615836
630,0.627566
631,0.566960
632,0.569892
633,0.580645
634,0.565005
635,0.601173
636,0.599218
637,0.596285
638,0.619746
639,0.565005
640,0.576735
641,0.575758
642,0.556207
643,0.597263
644,0.610948
645,0.549365
646,0.568915
647,0.561095
648,0.592375
649,0.593353
650,0.570870
651,0.575758
652,0.581623
653,0.589443
654,0.598240
655,0.551320
656,0.565982
657,0.579668
658,0.577713
659,0.583578
660,0.560117
661,0.553275
662,0.557185
663,0.580645
664,0.568915
665,0.559140
666,0.558162
667,0.566960
668,0.578690
669,0.582600
670,0.584555
671,0.537634
672,0.589443
673,0.558162
674,0.552297
675,0.564027
676,0.559140
677,0.559140
678,0.562072
679,0.548387
680,0.552297
681,0.547410
682,0.562072
683,0.555230
684,0.568915
685,0.549365
686,0.550342
687,0.537634
688,0.536657
689,0.548387
690,0.560117
691,0.547410
692,0.558162
693,0.575758
694,0.550342
695,0.542522
696,0.557185
697,0.535679
698,0.558162
699,0.552297
700,0.555230
701,0.523949
702,0.561095
703,0.541544
704,0.562072
705,0.528837
706,0.532747
707,0.536657
708,0.533724
709,0.541544
710,0.540567
711,0.521994
712,0.534702
713,0.548387
714,0.528837
715,0.522972
716,0.553275
717,0.509286
718,0.522972
719,0.525904
720,0.532747
721,0.531769
722,0.518084
723,0.548387
724,0.529814
725,0.529814
726,0.535679
727,0.520039
728,0.528837
729,0.527859
730,0.495601
731,0.493646
732,0.518084
733,0.505376
734,0.520039
735,0.527859
736,0.518084
737,0.521017
738,0.525904
739,0.528837
740,0.531769
741,0.536657
742,0.502444
743,0.547410
744,0.531769
745,0.519062
746,0.508309
747,0.492669
748,0.521017
749,0.515152
750,0.502444
751,0.514174
752,0.487781
753,0.525904
754,0.520039
755,0.500489
756,0.513196
757,0.482893
758,0.511241
759,0.516129
760,0.531769
761,0.477028
762,0.462366
763,0.516129
764,0.494624
765,0.475073
766,0.480938
767,0.516129
768,0.515152
769,0.526882
770,0.488759
771,0.490714
772,0.506354
773,0.476051
774,0.496579
775,0.487781
776,0.478983
777,0.508309
778,0.480938
779,0.489736
780,0.507331
781,0.473118
782,0.470186
783,0.485826
784,0.498534
785,0.478983
786,0.500489
787,0.454545
788,0.461388
789,0.461388
790,0.491691
791,0.486804
792,0.476051
793,0.484848
794,0.492669
795,0.489736
796,0.480938
797,0.464321
798,0.465298
799,0.488759
800,0.494624
801,0.476051
802,0.478983
803,0.468231
804,0.496579
805,0.493646
806,0.476051
807,0.472141
808,0.465298
809,0.463343
810,0.471163
811,0.485826
812,0.473118
813,0.488759
814,0.502444
815,0.464321
816,0.466276
817,0.457478
818,0.473118
819,0.462366
820,0.469208
821,0.446725
822,0.480938
823,0.469208
824,0.459433
825,0.498534
826,0.461388
827,0.455523
828,0.447703
829,0.473118
830,0.455523
831,0.472141
832,0.450635
833,0.456500
834,0.482893
835,0.451613
836,0.447703
837,0.437928
838,0.432063
839,0.438905
840,0.441838
841,0.441838
842,0.434995
843,0.448680
844,0.413490
845,0.474096
846,0.477028
847,0.432063
848,0.446725
849,0.415445
850,0.454545
851,0.422287
852,0.481916
853,0.452590
854,0.436950
855,0.457478
856,0.465298
857,0.426197
858,0.441838
859,0.420332
860,0.442815
861,0.443793
862,0.433040
863,0.439883
864,0.448680
865,0.448680
866,0.434018
867,0.449658
868,0.427175
869,0.420332
870,0.430108
871,0.445748
872,0.427175
873,0.464321
874,0.459433
875,0.434018
876,0.456500
877,0.427175
878,0.443793
879,0.422287
880,0.424242
881,0.432063
882,0.421310
883,0.411535
884,0.428152
885,0.398827
886,0.441838
887,0.410557
888,0.430108
889,0.399804
890,0.389052
891,0.442815
892,0.408602
893,0.426197
894,0.443793
895,0.427175
896,0.400782
897,0.437928
898,0.425220
899,0.423265
900,0.413490
901,0.415445
902,0.400782
903,0.434018
904,0.426197
905,0.412512
906,0.392962
907,0.389052
908,0.392962
909,0.425220
910,0.401760
911,0.430108
912,0.410557
913,0.390029
914,0.409580
915,0.405670
916,0.392962
917,0.389052
918,0.406647
919,0.414467
920,0.380254
921,0.387097
922,0.375367
923,0.383187
924,0.396872
925,0.407625
926,0.408602
927,0.367546
928,0.398827
929,0.400782
930,0.408602
931,0.408602
932,0.388074
933,0.383187
934,0.388074
935,0.411535
936,0.396872
937,0.397849
938,0.400782
939,0.387097
